Date,Steps,Activity Time,Distance,Burned
17. 10. 6.,3663,0:49:00,2.6,93
17. 10. 5.,1175,0:28:00,0.768,30
17. 10. 4.,7564,1:31:00,5.4,174
17. 10. 3.,805,0:22:00,0.526,22
17. 10. 2.,1955,0:34:00,1.3,43
17. 10. 1.,895,0:22:00,0.585,23
17. 9. 30.,4675,1:04:00,3.1,104
17. 9. 29.,8377,1:35:00,6.2,207
