Date,In bed for,Deep Sleep,Light Sleep
17. 10. 6.,9:12:00,1:07:00,8:05:00
17. 10. 5.,,,
17. 10. 4.,7:45:00,1:33:00,6:12:00
17. 10. 3.,9:13:00,1:22:00,7:51:00
17. 10. 2.,8:16:00,1:12:00,7:04:00
17. 10. 1.,8:38:00,0:49:00,7:49:00
17. 9. 30.,6:02:00,1:26:00,4:43:00
17. 9. 29.,6:34:00,1:34:00,5:00:00
